,Rok,Miesiąc,Liczba godzin pracy,halftime
2019 12,2019,Grudzień,160,80
2020 01,2020,Styczeń,168,84.0
2020 02,2020,Luty,160,80.0
2020 03,2020,Marzec,176,88.0
2020 04,2020,Kwiecień,168,84.0
2020 05,2020,Maj,160,80.0
2020 06,2020,Czerwiec,168,84.0
2020 07,2020,Lipiec,184,92.0
2020 08,2020,Sierpień,160,80.0
2020 09,2020,Wrzesień,176,160
2020 10,2020,Październik,176,168
2020 11,2020,Listopad,160,160
2020 12,2020,Grudzień,168,112
2021 01,2021,Styczeń,152,152
2021 02,2021,Luty,160,160
2021 03,2021,Marzec,184,184
2021 04,2021,Kwiecień,168,168
2021 05,2021,Maj,152,152
2021 06,2021,Czerwiec,168,163
2021 07,2021,Lipiec,176,173.75
2021 08,2021,Sierpień,176,176
2021 09,2021,Wrzesień,176,176
2021 10,2021,Październik,168,168
2021 11,2021,Listopad,160,160
2021 12,2021,Grudzień,176,176
